spot_id,CAF,Endo,Macro,Malignant,NK,T
12x3,0.02035417,0.004244282,0.25089,0.3709258,0.0076355007,0.34595025
12x4,0.0658863,0.0024033163,0.22715749,0.38438565,0.006337895,0.31382933
12x5,0.046890747,0.003595908,0.15089765,0.48972625,0.010754708,0.29813474
12x6,0.055570513,0.0013096168,0.15931624,0.5004314,0.007603724,0.27576852
12x7,0.0318943,0.0019092078,0.08700931,0.2735475,0.09438308,0.51125664
12x8,0.12538485,0.0074751615,0.045768134,0.2825451,0.10444385,0.43438292
12x9,0.0112165315,0.013522625,0.0120593915,0.32643571,0.113474704,0.52329105
12x10,0.08795758,0.25824386,0.005665311,0.0055566374,0.056375656,0.58620095
12x11,0.16033113,0.26834807,0.00032430867,0.036173865,0.12423793,0.41058475
12x12,0.01678885,0.31956977,0.002017948,0.027480884,0.20897433,0.42516825
12x13,0.029507319,0.344049,0.0017988018,0.034756266,0.1930796,0.39680895
13x2,0.061610818,0.003268344,0.32645437,0.28763556,0.006141067,0.31488988
13x3,0.058812175,0.014156709,0.38358393,0.20009898,0.0017053653,0.34164286
13x4,0.024362449,0.0053701685,0.29218692,0.31748742,0.0033128737,0.35728014
13x5,0.039933454,0.0044354796,0.16888359,0.44525468,0.013579267,0.32791355
13x6,0.08148669,0.00055258657,0.12616031,0.47546145,0.038897168,0.27744186
13x7,0.052413385,0.00042891136,0.1771187,0.35397908,0.03950327,0.37655666
13x8,0.013480026,0.0012212433,0.22534472,0.3980913,0.009426318,0.35243645
13x9,0.05724584,0.02353189,0.49227223,0.12437846,0.0019293594,0.30064225
13x10,0.1770263,0.2918216,0.013536279,0.107213385,0.0025576244,0.40784478
13x11,0.082826436,0.196931,0.0001612197,0.059490506,0.11276369,0.5478271
13x12,0.069690034,0.32400316,0.0057026483,0.011534342,0.24660715,0.34246266
13x13,0.11640442,0.4867812,0.001867277,0.03047031,0.08441163,0.2800652
14x2,0.046952035,0.0049025775,0.16692007,0.43952206,0.017073086,0.32463017
14x3,0.03256417,0.011104113,0.15116532,0.48990798,0.009883649,0.30537477
14x4,0.019942163,0.002736797,0.22614338,0.40932024,0.009516776,0.33234063
14x5,0.04494902,0.0014192031,0.19096906,0.45145568,0.020647554,0.29055938
14x6,0.05806562,0.0011098655,0.20988134,0.38722655,0.013493967,0.3302226
14x7,0.031185936,0.0028624148,0.31177646,0.34212032,0.0049909404,0.30706394
14x8,0.068613626,0.0073660836,0.3514929,0.1471699,0.0025320323,0.4228254
14x9,0.06715489,0.010034643,0.38634506,0.28258452,0.002311861,0.2515691
14x10,0.03019152,0.3294045,0.0035257277,0.008443967,0.08117334,0.54726094
14x11,0.07825074,0.28122953,0.00036805068,0.01908006,0.41813853,0.20293316
14x12,0.1252185,0.30646905,0.0002699152,0.08085678,0.07082962,0.41635615
15x2,0.09936095,0.0010837617,0.07265123,0.21849746,0.122505784,0.4859008
15x4,0.01763881,0.037894562,0.08460812,0.57394594,0.0014114793,0.28450105
15x5,0.021398064,0.02743695,0.15448725,0.5007822,0.0067391014,0.28915644
15x6,0.044052716,0.00089083944,0.420267,0.20537296,0.010916043,0.31850052
15x7,0.02497898,0.0017916111,0.17645328,0.4098173,0.014157074,0.3728018
15x8,0.044629123,0.006046923,0.29932374,0.26578504,0.006703219,0.377512
15x9,0.06249104,0.00818437,0.3570448,0.36544606,0.0060546985,0.200779
15x10,0.19091113,0.2740406,0.0005532105,0.50280714,0.0005238686,0.031164007
15x11,0.0070788115,0.35017547,0.0011418641,0.048927844,0.12281782,0.46985817
15x12,0.06296827,0.23019317,1.8813082e-05,0.13704632,0.12184639,0.44792703
15x13,0.14087509,0.115289174,9.436836e-05,0.01973235,0.45174536,0.2722636
16x2,0.12387753,0.09269995,0.07104115,0.16408795,0.008966408,0.539327
16x3,0.033192586,0.3495902,0.0013120143,0.03338158,0.020575192,0.5619484
16x4,0.06927003,0.22779652,0.005280514,0.0040805135,0.14992014,0.54365224
16x5,0.19162971,0.30869946,0.0019475761,0.15266134,0.004117331,0.34094462
16x6,0.18809043,0.31159368,9.4320305e-05,0.3242199,0.008033848,0.1679678
16x7,0.26390064,0.25531405,0.013213143,0.0089907395,0.0066730115,0.45190844
16x8,0.06677181,0.5081225,0.0019990157,0.04446383,0.062481392,0.3161615
16x9,0.31838068,0.07729933,0.00016981013,0.31866837,0.00091087713,0.28457093
16x10,0.06945446,0.2539422,0.17290796,0.021088857,0.009455454,0.47315112
16x11,0.10933967,0.26191634,0.1709376,0.019228935,0.022574518,0.41600305
16x12,0.06692093,0.17276603,0.003668993,0.018758537,0.14163303,0.59625244
16x13,0.023621354,0.25279105,0.09578707,0.013593691,0.05375339,0.5604534
17x3,0.022750055,0.3671364,0.00038460302,0.073486336,0.0797079,0.4565347
17x4,0.19052395,0.13570128,8.6664855e-05,0.051219177,0.19821203,0.42425692
17x5,0.024659088,0.23315302,0.0077255988,0.006782703,0.19925727,0.52842236
17x6,0.05580854,0.28480828,0.0004372197,0.03366982,0.019835858,0.6054403
17x7,0.011536126,0.24682827,0.015357856,0.006525193,0.19561554,0.524137
17x8,0.007895783,0.4403725,0.00091546046,0.038557004,0.31293344,0.1993258
17x9,0.026778918,0.21508811,0.008798723,0.0078708315,0.22874467,0.51271874
17x10,0.025333894,0.01191457,0.1804283,0.4979808,0.010267217,0.2740752
17x11,0.07994306,0.00027726547,0.08488332,0.47865096,0.11444111,0.24180427
17x12,0.019683708,0.005258919,0.25379276,0.47995383,0.0063762255,0.23493458
17x13,0.09091716,0.00030583833,0.08581554,0.51154363,0.08191405,0.22950383
18x3,0.18840075,0.17459223,6.0085582e-05,0.0682719,0.15864162,0.41003346
