spot_id,fraction::Malignant,fraction::CAF,fraction::Endo,fraction::Macro,fraction::NK,fraction::T,marker_proxy::Malignant,marker_proxy::CAF,marker_proxy::Endo,marker_proxy::Macro,marker_proxy::NK,marker_proxy::T
13x11,0.05949050887339158,0.08282644000051706,0.19693100951176776,0.0001612197077869119,0.11276369544648648,0.5478271264600503,-0.32121122676082775,-0.510724011254293,-0.5327704457664435,-0.6020910750367747,-0.13577681241320644,-0.1949660067152303
13x12,0.01153434206574575,0.0696900343972332,0.32400316184681804,0.005702648332505096,0.24660715140566078,0.3424626619520372,-0.829244659688113,-0.8420776049284155,-0.054266335555977596,-0.8867753120847987,-0.13577681241320644,-0.1949660067152303
13x13,0.030470308872598575,0.11640441569303663,0.4867811819890963,0.0018672769309107538,0.08441162687676981,0.28006518963758803,0.059547809070531386,-0.3490804631278702,-0.5327704457664435,0.4215327111333357,-0.13577681241320644,-0.1949660067152303
14x2,0.43952206065928306,0.04695203507042805,0.0049025775073538655,0.16692007025038008,0.01707308602560963,0.3246301704869452,-0.09262669488807258,0.4538630751824167,-0.08956939731227015,-0.36170961333991886,-0.13577681241320644,-0.1949660067152303
14x3,0.48990797902018396,0.032564169934871656,0.011104112977791772,0.15116531969766933,0.0098836489802327,0.30537476938925046,-0.3057153219251095,-0.5006171493397891,0.7783680454361602,-0.0352344951279535,-0.13577681241320644,-0.1949660067152303
14x4,0.4093202457304834,0.019942163279190284,0.0027367970383151584,0.22614338316600735,0.009516776133234865,0.33234063465276886,-0.4106134066365446,0.013473770701787402,0.033035470011239965,-0.3048192365779602,-0.13577681241320644,0.3067652026932378
14x5,0.4514557264547943,0.04494902462525464,0.0014192032460360142,0.1909690796507183,0.020647556124633527,0.29055940989856327,1.5148654524281568,0.5620169266617288,0.315763694102711,-0.059066523213101366,1.1825784747469439,-0.1949660067152303
14x6,0.3872265722655279,0.058065623338773346,0.00110986556381727,0.20988135206817776,0.01349396777590315,0.3302226189878006,-0.3102537854264568,0.22615188398571812,-0.06724680382450826,-0.693766546575936,-0.13577681241320644,-0.1949660067152303
14x7,0.34212031616825245,0.03118593565071752,0.0028624147679409545,0.31177645650810365,0.004990940344101468,0.3070639365608839,-0.07610129039754533,-0.8420776049284155,-0.5327704457664435,-0.046964448551897534,-0.13577681241320644,-0.1949660067152303
14x8,0.1471699085505717,0.0686136299864519,0.007366084027969482,0.3514929204217387,0.0025320324471110856,0.4228254245661572,-0.278692940458595,-0.48299239744704475,-0.5327704457664435,-0.8867753120847987,-0.13577681241320644,0.6598715774642976
14x9,0.2825844990887471,0.06715488503053851,0.010034642257436473,0.3863450314104677,0.002311860828922299,0.251569081383888,-0.829244659688113,-0.035037592301356724,-0.5327704457664435,-0.8867753120847987,-0.13577681241320644,-0.1949660067152303
14x10,0.008443967044753026,0.030191520160015056,0.32940450174584385,0.0035257277186863567,0.0811733404302187,0.547260942900483,0.12440175617226844,1.1937855371517256,0.5715324501291706,-0.3523850835746738,-0.13577681241320644,0.3544390732197187
14x11,0.019080058651421452,0.07825073446923808,0.2812295101226982,0.00036805065398617975,0.4181385004459708,0.20293314565668524,-0.074252511114432,-0.3496506396711055,-0.5327704457664435,-0.8867753120847987,-0.13577681241320644,-0.1949660067152303
14x12,0.08085677877097695,0.12521849809667882,0.30646904534167047,0.00026991519589728897,0.07082961892338978,0.4163561436713865,0.12651977922202248,-0.15427493854600488,-0.5327704457664435,-0.8867753120847987,-0.13577681241320644,-0.1949660067152303
15x2,0.2184974631245137,0.0993609514208616,0.0010837617154977922,0.07265123103891259,0.12250578575183273,0.4859008069483815,0.024450845331648863,0.04090766022227965,0.16547660698250988,0.249951965072234,-0.13577681241320644,-0.1949660067152303
15x4,0.5739459622117088,0.017638810682621978,0.03789456346651961,0.08460812327433437,0.0014114793546242512,0.28450106101019107,-0.5423405015199708,-0.20469625575365752,-0.15871895662493968,-0.3672857484123289,-0.13577681241320644,-0.1949660067152303
15x5,0.5007821972957761,0.021398063884450456,0.027436949851840472,0.15448724916576884,0.006739101363608853,0.28915643843855526,-0.07035258119409378,-0.2603215293109768,0.584185776575519,-0.24829998665105105,-0.13577681241320644,-0.1949660067152303
15x6,0.20537294389054628,0.044052712544505226,0.0008908393701225598,0.4202669670342591,0.010916042143745653,0.31850049501682115,-0.48581520090067437,-0.6180833203651308,-0.09553523082091919,0.18487489710119492,-0.13577681241320644,-0.1949660067152303
15x7,0.4098172815172406,0.024978978873448056,0.0017916110191983432,0.17645327204195743,0.014157073361515992,0.3728017831866396,1.0272746931781087,-0.5043640658643214,-0.5327704457664435,0.6712177432558757,-0.13577681241320644,-0.1949660067152303
15x8,0.26578502803967374,0.04462912099168956,0.0060469227278884775,0.2993237265304323,0.006703218698355159,0.3775119830119608,0.18091949908353092,-0.22384820071524764,1.0112163438394872,0.03780450272111149,-0.13577681241320644,-0.1949660067152303
15x9,0.3654460715115513,0.062491041968467824,0.008184370257807664,0.35704481124691156,0.006054698690723009,0.2007790063245387,0.007072504987608262,0.726552020744803,0.8354019016433711,0.1753947320345989,-0.13577681241320644,-0.1949660067152303
15x10,0.5028071620732344,0.19091113838099896,0.2740406120303829,0.000553210524285942,0.0005238686229978325,0.031164008368099964,-0.47886542683016287,0.0187455065777134,-0.5327704457664435,-0.6904349964309778,-0.13577681241320644,0.2249648870534092
15x11,0.04892784499812803,0.007078811644407756,0.3501754771435797,0.001141864123294028,0.12281782250548356,0.46985817958510684,-0.829244659688113,0.3415406478189121,-0.10975522038057611,-0.8867753120847987,-0.13577681241320644,-0.1949660067152303
15x12,0.13704632094808644,0.0629682704356145,0.23019317159247635,1.88130821301489e-05,0.12184639084293332,0.4479270330987592,0.2287815362527171,-0.33767359707884326,-0.5327704457664435,-0.359304796397504,-0.13577681241320644,0.5794553260454262
15x13,0.01973235113737272,0.14087509812004068,0.11528918064526839,9.436836543939259e-05,0.4517453860386041,0.27226361569327484,1.346002490341825,-0.5306043259671427,0.036146326963942266,0.42404820215184796,-0.13577681241320644,-0.1949660067152303
16x2,0.16408795196905546,0.12387753148653038,0.09269995111239943,0.07104115085249381,0.008966408107596899,0.5393270064719241,-0.3656306682784385,-0.34801435886430804,0.1496399994603398,-0.1695959899710225,-0.13577681241320644,-0.1949660067152303
16x3,0.03338158092466979,0.033192586919434657,0.3495902096836488,0.001312014336342797,0.020575192569932833,0.5619484155659711,-0.12815737588461176,-0.3848088979676086,0.6723546363840582,0.34345026634379466,-0.13577681241320644,-0.1949660067152303
